Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Langston Galloway,NYK,24,6.1666,200,Saint Joseph's,USA,2020,3,70,82,7.6,3.5,2.5,-2.9,2.3,13.1,15.5,49,16.1
Larry Nance Jr.,LAL,23,6.75,230,Wyoming,USA,2015,1,27,63,5.5,5,0.7,-5.2,8.6,18.4,12.6,54.4,5.5
Lavoy Allen,IND,27,6.75,255,Temple,USA,2011,2,50,79,5.4,5.4,1,6.9,11.4,18,13.1,53.2,7
LeBron James,CLE,31,6.6666,250,None,USA,2003,1,1,76,25.3,7.4,6.8,11,4.7,18.7,31.1,58.8,33.9
Leandro Barbosa,GSW,33,6.25,194,None,Brazil,2003,1,28,68,6.4,1.7,1.2,3.1,2.8,9,17.9,54.5,11.2
Lorenzo Brown,DET,25,6.4166,189,North Carolina State,USA,2013,2,52,8,2.5,0.9,1.4,-29.1,0,14.9,26.1,37.4,30.6
Lou Amundson,NYK,33,6.75,220,Nevada-Las Vegas,USA,2020,3,70,29,1.8,1.7,0.4,-9.7,11.5,13.7,17.5,40.1,10.7
Lou Williams,LAL,29,6.0833,175,None,USA,2005,2,45,67,15.3,2.5,2.5,-10.8,1.7,8,22.7,58.4,14.9
Luc Mbah a Moute,LAC,29,6.6666,230,UCLA,Cameroon,2008,2,37,75,3.1,2.3,0.4,11.5,5.3,9,9.7,49.8,3.2
Lucas Nogueira,TOR,23,7,220,None,Brazil,2013,1,16,29,2.2,1.6,0.2,8.1,8.7,13.6,12.5,64.2,4.4
Luis Montero,POR,23,6.5833,185,Westchester CC NY,Dominican Republic,2020,3,70,12,1.2,0.3,0.1,-58,0,11.8,26.6,33.7,6.7
Luis Scola,TOR,36,6.75,240,None,Argentina,2002,2,55,76,8.7,4.8,0.9,-2.7,6.1,19.9,19.3,52.3,6.6
Luke Babbitt,NOP,27,6.75,225,Nevada,USA,2010,1,16,47,7,3.1,1.1,-3.1,3.2,16.6,17.2,52.6,9.2
Luol Deng,MIA,31,6.75,220,Duke,Great Britain,2004,1,7,74,12.3,6,1.9,1.3,5.2,15.5,17.1,54.9,8.7
Manu Ginobili,SAS,38,6.5,205,None,Argentina,1999,2,57,58,9.6,2.5,3.1,14.9,2.8,11.5,23.1,57.3,23.4
Marc Gasol,MEM,31,7.0833,255,None,Spain,2007,2,48,52,16.6,7,3.8,-0.1,3.6,20.2,23.9,52.8,19.5
Marcelo Huertas,LAL,33,6.25,200,None,Brazil,2020,3,70,53,4.5,1.7,3.4,0.1,2.3,9.3,16.5,48.8,32.7
Marcin Gortat,WAS,32,6.9166,240,None,Poland,2005,2,57,75,13.5,9.9,1.4,0.8,10.7,25.2,18.8,59.2,7.2
Marco Belinelli,SAC,30,6.4166,210,None,Italy,2007,1,18,68,10.2,1.7,1.9,-6.4,0.6,7.1,19.9,50,11.7
Marcus Morris,DET,26,6.75,235,Kansas,USA,2011,1,14,80,14.1,5.1,2.5,1.8,3.4,12.6,18.4,53.1,10.7
Marcus Smart,BOS,22,6.3333,220,Oklahoma State,USA,2014,1,6,61,9.1,4.2,3,2.6,4.7,11.7,17.2,46.3,16.2
Marcus Thornton,WAS,29,6.3333,205,Louisiana State,USA,2009,2,43,61,9.7,2.5,1.4,-0.4,3.7,11.2,24,51.1,12.5
Mario Chalmers,MIA,30,6.1666,190,Kansas,USA,2008,2,34,61,10.3,2.6,3.8,2.9,2,11.1,21.8,56.1,27
Mario Hezonja,ORL,21,6.6666,218,None,Croatia,2015,1,5,79,6.1,2.2,1.4,-1.4,2.2,12.1,16.9,54.1,11.3
Markel Brown,BKN,24,6.25,190,Oklahoma State,USA,2014,2,44,62,5.9,2,1.5,-11.5,2.6,12,18.7,50,14.2
Markieff Morris,WAS,26,6.8333,245,Kansas,USA,2011,1,13,64,12,5.5,1.9,-4.3,4.9,19.5,24.3,48.9,12.5
Marreese Speights,GSW,28,6.8333,255,Florida,USA,2008,1,16,72,7.1,3.3,0.8,1.7,10.1,20.5,30.2,50.6,12.6
Marvin Williams,CHA,30,6.75,237,North Carolina,USA,2005,1,2,81,11.7,6.4,1.4,5.2,5.9,18.7,16.9,58.5,7.4
Mason Plumlee,POR,26,6.9166,235,Duke,USA,2013,1,22,82,9.1,7.7,2.8,1.1,10.6,22.3,17.3,56.4,16.1
Matt Barnes,MEM,36,6.5833,226,UCLA,USA,2002,2,45,76,10,5.5,2.1,-5.5,4.1,17.9,17.7,50.3,11.7
Matt Bonner,SAS,36,6.8333,235,Florida,USA,2003,2,45,30,2.5,0.9,0.3,17.5,1.9,13.3,14.6,64.7,6.1
Matthew Dellavedova,CLE,25,6.3333,198,Saint Mary's (CA),Australia,2020,3,70,76,7.5,2.1,4.4,10,2.1,7.6,15.9,52.7,26.5
Maurice Harkless,POR,23,6.75,215,St. John's (NY),USA,2012,1,15,78,6.4,3.6,0.9,1.7,7.6,13.3,15.5,54.1,6.8
Metta World Peace,LAL,36,6.5833,260,St. John's (NY),USA,1999,1,16,35,5,2.5,0.8,-6,3.3,12.5,16.5,43.5,7.8
Meyers Leonard,POR,24,7.0833,245,Illinois,USA,2012,1,11,61,8.4,5.1,1.5,1,4.2,21.3,17.6,56.1,10.3
Michael Beasley,HOU,27,6.8333,235,Kansas State,USA,2008,1,2,20,12.8,4.9,0.8,-8.4,8.4,19.8,29,56.3,8.6
Michael Carter-Williams,MIL,24,6.5,190,Syracuse,USA,2013,1,11,54,11.5,5.1,5.2,-3.3,3.3,15.4,21,49.8,26.4
Michael Kidd-Gilchrist,CHA,22,6.5833,232,Kentucky,USA,2012,1,2,7,12.7,6.4,1.3,15.2,6.5,16,17.9,60.3,6.9
Mike Conley,MEM,28,6.0833,175,Ohio State,USA,2007,1,4,56,15.3,2.9,6.1,1.6,1.7,9.3,23.1,53.8,32.4
Mike Dunleavy,CHI,35,6.75,230,Duke,USA,2002,1,3,31,7.2,2.7,1.3,-5.7,1.2,11.6,14.4,54.3,7.6
Mike Miller,DEN,36,6.6666,218,Florida,USA,2000,1,5,47,1.3,1.1,0.9,-14.2,1.6,14,9.2,50.8,15.9
Mike Muscala,ATL,24,6.9166,240,Bucknell,USA,2013,2,44,60,3.3,2,0.6,-2.2,7.5,15.7,15.8,57.6,9.9
Mike Scott,ATL,27,6.6666,237,Virginia,USA,2012,2,43,75,6.2,2.7,1,5.1,5.2,14.4,17.6,57.5,10.6
Miles Plumlee,MIL,27,6.9166,249,Duke,USA,2012,1,26,61,5.1,3.8,0.3,-4.5,12.1,17.4,15.4,60.6,3
Mirza Teletovic,PHX,30,6.75,242,None,Boznia & Herzegovina,2020,3,70,79,12.2,3.8,1.1,-5.8,3.5,16.4,23.3,57.1,8.8
Mitch McGary,OKC,24,6.8333,255,Michigan,USA,2014,1,21,20,1.3,0.9,0.2,-32.2,6.8,22.2,20.8,47.4,7.1
Mo Williams,CLE,33,6.0833,198,Alabama,USA,2003,2,47,41,8.2,1.8,2.4,-5,0.9,9.9,22.7,52.7,23.1
Monta Ellis,IND,30,6.25,185,None,USA,2005,2,40,81,13.8,3.3,4.7,2.5,1.7,9.1,21,50.4,22.2
Montrezl Harrell,HOU,22,6.6666,240,Louisville,USA,2015,2,32,39,3.6,1.7,0.4,5,7.6,10.8,14.4,63.5,6.7
Myles Turner,IND,20,6.9166,243,Texas,USA,2015,1,11,60,10.3,5.5,0.7,-1.3,5.4,20.7,21.1,53.1,5
Nate Robinson,NOP,32,5.75,180,Washington,USA,2005,1,21,2,0,0,2,-43.4,0,0,1.9,0,28.6
Nazr Mohammed,OKC,38,6.8333,250,Kentucky,USA,1998,1,29,5,1.6,0.8,0,-9.5,5.6,15.8,20.6,68,0
Nemanja Bjelica,MIN,28,6.8333,240,None,Serbia,2020,3,70,60,5.1,3.5,1.4,-5.2,5.4,17.8,12.7,59.4,11.5
Nene,WAS,33,6.9166,250,None,Brazil,2002,1,7,57,9.2,4.5,1.7,2.4,5.4,22.7,22.3,56.4,14.5
Nerlens Noel,PHI,22,6.9166,228,Kentucky,USA,2013,1,6,67,11.1,8.1,1.8,-11,8.5,22,18.9,54.4,10.7
Nick Collison,OKC,35,6.8333,255,Kansas,USA,2003,1,12,59,2.1,2.9,0.9,3.1,10.7,16.1,10.7,49.8,10.3
Nick Young,LAL,31,6.5833,210,Southern California,USA,2007,1,16,54,7.3,1.8,0.6,-10.8,1.5,9.2,18.8,48.3,5.8
Nicolas Batum,CHA,27,6.6666,200,None,France,2008,1,25,70,14.9,6.1,5.8,4.8,2.5,16.6,21.5,54.6,26.2
Nik Stauskas,PHI,22,6.5,205,Michigan,Canada,2014,1,8,73,8.5,2.5,1.9,-11.7,1.3,10.1,16.6,51.7,11.9
Nikola Jokic,DEN,21,6.8333,250,None,Serbia,2020,3,70,80,10,7,2.4,1.2,11.3,24.8,19.8,58.2,17.6
Nikola Mirotic,CHI,25,6.8333,220,None,Montenegro,2011,1,23,66,11.8,5.5,1.5,0.2,3.9,19.7,21.1,56.4,9.5
Nikola Pekovic,MIN,30,6.9166,307,None,Montenegro,2008,2,31,12,4.5,1.8,0.9,-18.3,5.3,11.8,20.8,45.9,13.1
Nikola Vucevic,ORL,25,7,260,Southern California,Montenegro,2011,1,16,65,18.2,8.9,2.8,-2.2,9.2,22.3,26.7,53.1,15.4
Noah Vonleh,POR,20,6.75,240,Indiana,USA,2014,1,9,78,3.6,3.9,0.4,-2.7,8.3,20.2,13.2,47.1,3.7
Norman Powell,TOR,23,6.3333,215,UCLA,USA,2015,2,46,49,5.6,2.3,1,4.9,2.6,14.2,17.9,54.1,10.2
Norris Cole,NOP,27,6.1666,175,Cleveland State,USA,2011,1,28,45,10.6,3.4,3.7,-5.5,0.9,13.7,21.6,46.5,21.9
O.J. Mayo,MIL,28,6.4166,210,Southern California,USA,2008,1,3,41,7.8,2.6,2.9,-1.2,1.3,9.4,16.9,47.4,15.6
Omer Asik,NOP,29,7,255,None,Turkey,2008,2,36,68,4,6.1,0.4,-9.3,10.3,28,11.5,55.1,3.2
Omri Casspi,SAC,28,6.75,225,None,Israel,2009,1,23,69,11.8,5.9,1.4,-0.2,3.4,19.6,17.7,58.7,7.4
Orlando Johnson,NOP,27,6.4166,220,California-Santa Barbara,USA,2012,2,36,7,3.7,2.1,0.3,-16.1,3.5,14.1,16.9,34.6,3.1
Otto Porter,WAS,23,6.6666,198,Georgetown,USA,2013,1,3,75,11.6,5.2,1.6,0.6,4.7,14.8,16,56.4,7.6
PJ Hairston,MEM,23,6.5,230,North Carolina,USA,2014,1,26,66,6.2,2.6,0.6,-6,2,13.6,16.4,47,4.5
PJ Tucker,PHX,31,6.5,245,Texas,USA,2006,2,35,82,8,6.2,2.2,-7.2,7,15.2,12.7,50.6,10.4
Pablo Prigioni,LAC,39,6.25,185,None,Argentina,2020,3,70,59,2.5,1.9,2.2,-2.7,5,10.3,11.2,48.2,23.5
Pat Connaughton,POR,23,6.4166,206,Notre Dame,USA,2015,2,41,34,1.1,0.9,0.3,-6.7,8,14.4,18.8,35.2,11.5
Patrick Beverley,HOU,27,6.0833,185,Arkansas,USA,2009,2,42,71,9.9,3.5,3.4,3.1,4,9.7,15.5,55.3,17.5
Patrick Patterson,TOR,27,6.75,235,Kentucky,USA,2010,1,14,79,6.9,4.3,1.2,9.3,4.6,14.6,13.1,53.4,7
Patty Mills,SAS,27,6,185,Saint Mary's (CA),Australia,2009,2,55,81,8.5,2,2.8,12.2,1.9,8.7,19.3,54.1,19.7
Pau Gasol,CHI,35,7,250,None,Spain,2001,1,3,72,16.5,11,4.1,-1.2,7.3,27.7,24.6,52.9,21.5
Paul George,IND,26,6.75,220,Fresno State,USA,2010,1,10,81,23.1,7,4.1,3.3,3.1,18.7,30.1,55.7,20.3
Paul Millsap,ATL,31,6.6666,246,Louisiana Tech,USA,2006,2,47,81,17.1,9,3.3,4,8.3,21.3,24,55.6,16.2
Paul Pierce,LAC,38,6.5833,235,Kansas,USA,1998,1,10,68,6.1,2.7,1,2.2,1.1,15.1,18,48.9,8.8
Phil Pressey,POR,25,5.9166,175,Missouri,USA,2020,3,70,23,3.3,1.3,3.3,-6.7,1.1,10.9,17.8,43.3,39.5
Quincy Acy,SAC,25,6.5833,240,Baylor,USA,2012,2,37,59,5.2,3.2,0.5,-7.6,7.9,15.4,13.1,62.9,4.5
RJ Hunter,BOS,22,6.4166,185,Georgia State,USA,2015,1,28,36,2.7,1,0.4,-3.5,0.6,13.1,15.5,48,6.8
Rajon Rondo,SAC,30,6.0833,186,Kentucky,USA,2006,1,21,72,11.9,6,11.7,-3.4,3.3,15,18.7,50.6,47.3
Rakeem Christmas,IND,24,6.75,250,Syracuse,USA,2015,2,36,1,4,1,0,-85.4,25,0,15.4,100,0
Ramon Sessions,WAS,30,6.25,190,Nevada,USA,2007,2,56,82,9.9,2.5,2.9,-1.4,1.7,12.3,22,56.5,22.8
Randy Foye,OKC,32,6.3333,213,Villanova,USA,2006,1,7,81,5.9,1.9,2,1,1.6,8.6,16,46.1,14.4
Rashad Vaughn,MIL,19,6.5,202,UNLV,USA,2015,1,17,70,3.1,1.3,0.6,-6.8,1.2,8.6,13.3,39.8,5.5
Rasual Butler,SAS,37,6.5833,215,La Salle,USA,2002,2,52,46,2.7,1.2,0.5,11.9,0.8,13,12.9,55.8,7.9
Raul Neto,UTA,24,6.0833,179,None,Brazil,2013,2,47,81,5.9,1.5,2.1,3.6,1.4,8,17.6,53,19
Ray McCallum,SAS,25,6.25,190,Detroit Mercy,USA,2013,2,36,41,3.3,1.1,1.5,3.1,1.8,9.6,16.8,44.9,18.5
Raymond Felton,DAL,32,6.0833,205,North Carolina,USA,2005,1,5,80,9.5,3.2,3.6,0.8,1.8,11.1,18.4,50.2,20.5
Reggie Bullock,DET,25,6.5833,205,North Carolina,USA,2013,1,25,37,3.3,1.8,0.7,-7.5,3.4,15.1,11.7,58.3,10
Reggie Jackson,DET,26,6.25,208,Boston College,USA,2011,1,24,79,18.8,3.2,6.2,1.6,2.5,9.2,28.8,53.5,34.4
Richard Jefferson,CLE,36,6.5833,233,Arizona,USA,2001,1,13,74,5.5,1.7,0.8,-2.3,1.3,9.6,13.6,58.5,7
Richaun Holmes,PHI,22,6.8333,245,Bowling Green,USA,2015,2,37,51,5.6,2.6,0.6,-2.5,9.9,12.1,17.5,56.4,7.3
Ricky Rubio,MIN,25,6.3333,194,None,Spain,2009,1,5,76,10.1,4.3,8.7,1.1,2,13.9,17.6,52.9,40.2
Robert Covington,PHI,25,6.75,215,Tennessee State,USA,2020,3,70,67,12.8,6.3,1.4,-7.8,3.5,21.1,21.3,54.3,8.3
Robert Sacre,LAL,27,7,270,Gonzaga,Canada,2012,2,60,25,3.5,2.9,0.6,-6.6,9.7,13.8,13.8,47.4,7.2
Robin Lopez,NYK,28,7,255,Stanford,USA,2008,1,15,82,10.3,7.3,1.4,-1.5,13.2,16.1,17.6,57.4,8.3
Rodney Hood,UTA,23,6.6666,206,Duke,USA,2014,1,23,79,14.5,3.4,2.7,2,1.8,10.7,21.8,54.2,14.2
Rodney Stuckey,IND,30,6.4166,205,Eastern Washington,USA,2007,1,15,58,8.9,2.7,2.4,0.8,1.7,11.6,20.7,50.4,17.9
Rondae Hollis-Jefferson,BKN,21,6.5833,220,Arizona,USA,2015,1,23,29,5.8,5.3,1.5,-2.9,6.7,19.9,13.2,51.9,10
Ronnie Price,PHX,33,6.1666,190,Utah Valley,USA,2020,3,70,62,5.3,1.6,2.4,-3.2,2.1,6.8,13.7,51.7,18.7
