,X,Y
66,-95.8319641665,-72.2942574546
67,-22.8159007737,-17.2468842975
68,-29.8372991197,-61.2942169205
69,-1.8229946348,-70.2719468199
70,-46.7976592772,-2.22298918741
71,-22.8390050127,-62.2479405408
72,-1.86155855496,-66.2539102943
73,-6.8072447306,-27.2518099367
74,-35.8264927953,-53.3047002199
75,-20.8109075679,-24.2466197355
76,-25.8668035424,-70.2319908296
77,-15.7827491571,-16.2574150445
78,-95.845398205,-24.1975737593
79,-112.890775535,-74.3084173448
80,-67.8232183654,-17.2150993074
81,-120.832670509,-17.1756589543
82,-44.8007188109,-8.22727120373
83,-69.8392018817,-77.19904698
84,-40.8376042126,-73.2489063226
85,-44.8217417969,-60.2373482757
86,-29.8907076654,-82.2466563986
87,-4.82001113232,-8.24639827017
88,-99.8757400801,-80.0625524375
89,-69.8114589115,-3.21384032139
90,-118.875814397,-79.2124749015
91,-69.7735581486,-31.053864885
92,-75.8792621958,-80.2634992946
93,-99.8812333247,-62.2245076784
94,-27.8069542656,-1.28582490521
95,-115.871666211,-75.3183303097
96,-69.7952226606,-20.0849659005
97,-69.8159292063,-33.0666452009
98,-69.8296081865,-53.1932900162
99,-71.8627838588,-79.22867468
100,-108.8505951,-80.2033580789
101,-44.8402809001,-70.2484543598
102,-102.892656318,-74.2553034515
103,-108.848953853,-38.1945374975
104,-29.8226971474,-55.2573619982
105,-123.831110926,-78.2056190906
106,-100.817062674,-77.2128799293
107,-81.7860585409,-29.2136120684
108,-91.8520532389,-78.3099033121
109,-46.7999006528,-65.3375227843
110,-63.8332523196,-26.2448504531
111,-105.855335468,-27.1931388518
112,-69.8938973628,-80.1393951095
113,-39.8656189687,-65.3080884564
114,-35.8057947207,-62.2922038979
115,-58.8745503295,-66.2967557943
116,-1.84076082106,-80.2817121586
117,-46.8666163409,-76.2849270848
118,-121.880879239,-64.1992508916
119,-42.8478964322,-28.2200839206
120,-91.8250369432,-58.2022742177
121,-95.8568382335,-78.2354449145
122,-69.8242725561,-75.1594016854
123,-100.861452755,-61.2315505216
124,-69.8276912822,-37.1393010158
125,-23.8549264041,-81.2689138518
126,-61.8489235477,-81.2908289333
127,-44.8043828585,-30.2281351754
128,-121.80487477,-1.04665745456
129,-69.8130064786,-71.2441438168
130,-94.8268114526,-69.0451512397
131,-55.8514976064,-74.313980498
132,-83.8727312584,-59.2231847147
133,-71.8425656118,-81.2148395124
134,-53.8843403926,-73.282262102
135,-0.820890193623,-20.2522226429
136,-58.8438601696,-5.21141894016
137,-27.7929874565,-17.2478848738
138,-69.8599419259,-68.1404158706
139,-46.8363351997,-82.2433068466
140,-46.8520285454,-31.3322584951
141,-40.8400707831,-45.2997107123
142,-80.8026238345,-8.20186905604
143,-111.850608423,-9.17501158685
144,-69.8408631182,-74.2285884823
145,-69.861509072,-79.1458236269
146,-75.8589347719,-81.258618248
147,-107.796040712,-46.1408893471
148,-121.842347488,-81.2042044186
149,-51.8809086448,-80.2388567372
150,-61.8641622401,-76.2638195375
151,-101.843209725,-40.2258204702
152,-41.8825063433,-74.2737935075
153,-69.8654935791,-69.2338645902
