X,Y
-3.6132573427,31.0327033744
-34.3790747463,-9.9224258595
-20.1588920118,25.6985761982
-21.9967050531,6.1365912226
16.5578427793,-61.5347398063
-63.1237122852,-1.1676983867
-15.9742672746,-54.5878635303
-7.8717598335,-41.5581360015
49.4057447262,55.7335271639
13.4914853847,-33.9958931775
50.4826771098,11.1937449847
47.2923617379,-4.5158063463
-13.3756181443,-16.3652999753
27.2299975403,-51.7834060923
-25.7851166671,-48.9542768769
14.8994200706,-11.1488359413
17.0765132067,-22.4963446801
-56.4687171639,-27.2406234814
-66.5719583766,-6.4492659024
-61.1144438523,4.3342232162
14.9666787518,-24.2633193502
37.7479070457,5.390522207
-46.53664292,53.8665713389
23.8630582022,45.1188430983
-35.2122993777,-25.6714645762
-28.7416267775,-26.3208597959
-64.651571639,-32.1038451765
53.5117280978,-18.0253352215
-45.7122652645,40.3761971117
-43.9347042211,-3.0546880029
2.5087496849,30.6263262755
10.9782814446,-75.4590165006
51.5985969664,-2.6729049378
-54.9760282496,2.7149781247
41.6290761895,26.9591742125
-39.8519073186,-11.6997882788
3.4210484944,25.9566638691
83.097229134,17.1985136104
-36.9492518624,41.8784852385
14.1170073347,-23.5811487503
-48.2604148537,-29.2970087678
2.219297242,35.042274122
14.3108846292,-19.0870685987
-23.5060219935,-51.7321746521
41.3253712641,17.0817860451
-26.1653671619,-60.0100318094
10.1516643162,-52.1941786663
15.8245510498,-26.9247627915
72.9938204151,43.0963340719
-45.8324082782,-36.089728211
-60.9530944371,-16.3311986785
-54.0070436361,-38.9434641249
-35.9807617219,-60.2995037951
46.4398799668,36.0518837539
-68.5813741373,5.0686085543
-35.9983626405,-46.2583502923
8.5195296246,-53.4165181332
-3.5512517814,-44.3023019646
11.2165927797,42.1916259373
-60.9991156104,-36.6973268541
9.2871265617,6.4440606346
28.4943921617,13.2629796011
-30.2602531107,21.6911445925
-15.2921077684,-12.6732150881
-25.4010107759,22.6250243702
61.2042890949,-6.7391952979
2.2399797195,-43.0140416921
7.1879556638,1.5163587049
