,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
151,29,31,6.3333,210,102,36,25,3,70,40,9.8,2.1,1.2,81,1.5,10.8,21.1,55.8,9.9
152,11,30,6.25,188,42,36,13,1,26,74,12.1,4,3.5,92,2.6,10.5,16,55.5,15.7
153,15,30,6.5833,205,70,36,10,1,18,69,8.9,2.4,0.8,91,1.9,9.6,19.8,49.1,5.7
154,24,28,6.4166,215,28,36,14,1,12,72,8.7,2.9,1,91,2.3,13.7,20.3,52.6,8.4
155,16,21,6.9166,222,70,15,18,1,15,80,16.9,7.7,4.3,87,4.7,20.2,22.3,56.6,19.5
156,11,22,6.5833,222,61,36,19,2,40,45,3.8,1.5,0.6,85,2.5,11.8,16.1,50.8,7.7
157,15,30,6.25,190,70,29,13,2,45,72,14.1,3.8,5.8,94,2.6,10.1,21.5,53.7,27.6
158,28,26,6.6666,226,12,36,15,1,9,80,19.7,5,3.7,91,2.5,13.5,25.6,55.9,18.1
159,17,26,6.9166,241,55,27,18,1,21,82,10.1,7.1,1.7,90,8.6,22.2,16.9,60.1,9.9
160,16,26,6.9166,265,33,36,15,1,7,79,15.3,8.8,2.3,87,10.9,23.9,23.4,56.2,12.8
161,17,25,6.0833,250,32,36,25,3,70,18,2.4,2.3,0.3,72,6.9,18.6,10.8,54.5,4.9
162,16,29,6.5,217,58,38,15,1,28,23,5.7,2,4,81,1.2,10.5,18.9,43.5,32
163,9,24,6.6666,225,72,36,17,1,7,66,11.7,4.9,1.8,100,4.3,12.7,15.9,55.9,7.7
164,15,27,7,265,57,36,15,2,33,73,14.2,11.8,0.4,93,13,31.6,20.5,62.9,2.2
165,1,26,6.8333,248,33,36,25,3,70,14,6.5,5.1,0.6,73,8.4,23,17,50.4,5.4
166,22,25,6.6666,206,33,36,25,3,70,77,9.8,3.5,1.3,81,2.6,11.3,16.1,52.5,7.2
167,9,25,6.25,175,6,36,25,3,70,66,3.6,1,1,84,2.6,10.1,20.1,54.4,17.1
168,11,29,6.9166,250,70,11,10,1,28,71,9.3,7.1,1.5,94,8.4,22.1,15.8,60.3,9
169,5,26,6.4166,220,36,36,16,1,17,54,5.8,3.8,1.7,97,2.8,14.3,13.3,47.5,10
170,22,25,6,201,66,36,18,2,34,77,11,2.3,1.8,77,1,9,19.8,52.8,12
171,2,27,5.75,185,114,36,16,2,60,82,22.2,3,6.2,93,1.8,8,29.3,56.2,31.2
172,22,27,6,175,113,36,25,3,70,77,12.6,4,6.5,82,2,12.7,23.8,46.5,37
173,28,24,6.5833,220,91,36,25,3,70,2,0,0.5,0,41,0,25,7.7,0,0
174,5,30,6.5,225,70,36,9,1,18,77,12.4,2.8,1.7,96,2,8.4,17.8,54.2,8.2
175,29,27,6.75,242,73,36,13,1,19,35,5.9,3.8,0.7,82,9.5,22.6,22.2,51.4,9.1
176,12,32,6.3333,190,28,36,11,1,11,75,16.3,1.9,1.4,102,0.5,6.5,22.4,63.2,8
177,7,23,6.75,214,94,36,25,3,70,73,5.1,2.6,0.6,83,4.2,13.4,16.8,50.4,6.2
178,14,26,6.75,227,0,36,25,3,70,78,7.4,4.8,0.9,88,10.3,19.7,19.3,52,7.4
