,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
509,7,29,6.8773601443,224.270689043,103,32,22,2,50,64,9.5660234118,3.5430202731,2.4514814757,98.8238695326,11.1369796031,15.5341599052,18.8424876744,59.5838093919,19.6139507353
510,10,33,6.7724085202,229.015459266,94,36,19,2,63,92,16.2419155437,7.168546474,2.3105213852,92.4481461264,5.374271149,22.2510235009,18.9370621139,56.1881391152,20.0554985064
511,15,33,6.8224039174,261.939629462,96,17,18,2,49,73,15.2591073858,4.5140898492,3.1543389454,91.9745737395,10.3522562429,18.8964100706,23.0315151899,53.9059808069,14.6341816148
512,18,30,6.6047704073,222.906317072,70,28,20,2,49,92,10.956847977,6.3129748798,2.227605841,99.4743140418,7.1562386438,24.6214396076,21.1329333253,62.3029331952,25.3765973125
513,9,27,7.0223555283,263.133827863,70,36,22,2,42,71,11.1185653715,4.3460226408,4.3485947235,95.7203405615,9.421685777,22.1669947196,21.6302999754,61.4535110171,23.5835448738
514,8,30,6.8757824675,243.596634731,95,36,23,2,66,90,11.7912843652,5.2930124638,1.924283069,98.8362316329,5.255135958,15.8833496962,24.0589310911,61.72768162,13.9592201199
515,20,33,6.6793936545,249.822475027,96,36,20,1,64,61,8.4343744333,4.2316012234,4.3303543305,91.5286045807,8.5752082139,20.343965744,25.1968174262,53.760547731,25.2538938678
516,16,27,7.0523547636,252.361773246,70,36,19,2,37,95,15.0349087022,6.5801779301,3.7733538128,95.1525313398,11.6802013426,16.4702235886,24.0514121921,61.6325530983,20.639044725
517,20,28,7.0804653113,225.980573555,103,36,22,2,51,74,11.6837939422,6.5583549148,2.1737711753,90.7062367581,9.2376988798,19.3417972139,24.8983032823,58.543862683,24.51413334
518,19,29,6.8543769567,243.322949323,122,36,24,1,55,93,10.4381361832,6.3145066299,3.6287328624,101.601664013,8.4427581362,20.8122628279,18.8173046287,59.2352104868,23.5766199457
519,9,33,7.0812162309,253.061607215,121,36,16,2,60,57,15.4356034527,6.9546795484,1.9914567816,88.5357396077,9.9369855425,20.7100801651,23.698211049,63.1765338676,17.4192768445
520,16,27,6.818483347,265.765190526,100,18,22,1,32,69,11.6118220561,4.6354252907,2.7013533634,93.6410045291,5.8405691352,16.9834716281,25.4867891697,62.2811289674,15.6282921949
521,8,28,6.7716184049,223.430213653,70,36,19,2,56,95,14.8118461178,5.8850129131,4.1737488397,94.270261828,9.31778852,22.1978373289,20.8929555119,60.8960433534,18.9790474901
522,17,28,7.0699449089,254.814205583,70,28,21,2,60,86,15.2733550415,4.1946042418,2.6858265367,88.262146453,6.0872374456,15.5655667428,25.3616332977,55.8402251653,26.7212607004
523,11,33,6.7164688835,263.044242415,62,36,19,1,69,83,9.0471154357,6.1950281095,3.5347409293,92.3117792176,9.2737396165,19.9818451812,21.8905690605,57.1143735522,15.5882469587
524,13,31,6.7134059541,235.305974947,76,36,22,2,36,84,9.8122534442,3.8399564673,3.2714741325,87.9025590955,11.2591740595,17.7717137268,24.3302655374,53.1993428168,24.2680879223
525,14,30,6.6717818599,239.117390355,70,36,23,1,40,68,10.3614758607,3.5870543786,2.3937328401,93.2345179945,8.9808753808,24.3356551525,22.939454695,60.649064354,23.2982526091
526,10,29,6.7685180085,231.59390814,70,36,19,2,66,60,16.2011062377,5.9381923566,2.3301863439,88.7145002588,10.2159015248,25.417959351,19.919919965,54.1333940533,13.3386677476
527,17,33,6.9114866605,249.416846966,61,36,18,2,40,79,14.9067638096,3.7746250437,2.314479332,99.8251614555,5.0527442328,22.3158699942,19.1894323922,55.8935478146,24.0937258566
528,6,32,6.6527678315,234.547763611,68,36,20,2,63,90,14.9200930497,5.6907954181,2.4098827924,100.462963663,11.5615599457,18.4085531972,24.7008831893,58.6076783931,21.5276980505
529,21,28,6.655732898,263.024676238,72,36,21,2,38,66,9.1763815181,6.0007627455,4.2916463781,88.4797804534,5.027080033,22.1185264036,18.9669595936,55.012025949,22.111598776
530,6,33,7.0448070149,265.53612046,70,36,24,1,46,93,14.3079513345,6.9190878583,3.500696842,101.449227304,8.3817287889,22.369111998,23.6305142412,60.8317134553,18.6415374723
531,21,32,7.0000675178,228.369627104,58,36,25,1,39,83,11.6238080477,4.6094732923,1.9120937101,98.0450447616,10.7926494277,24.7598171962,23.9739613864,55.0848719494,16.1183037736
532,16,29,6.969413797,231.846452578,82,36,18,1,56,94,14.8509548682,6.1779307933,3.9549036658,92.8483852176,9.3640844608,21.36551545,23.097976895,60.7315538156,23.460605906
533,19,29,6.7983163709,246.284135966,70,2,24,2,58,78,12.2918051698,5.0538033092,2.5920187521,87.3917860096,11.2010502339,22.1542948052,19.3386212656,58.6236792344,26.9137857976
